stride, size, friendly, unfriendly
 8,   262144,   415088,     450205
 8,   262144,   415063,     450449
 8,   262144,   415055,     455163
 8,   524288,   830572,     900069
 8,   524288,   836041,     900430
 8,   524288,   829982,     899605
 8,   524288,   830039,     900189
 8,   524288,   829977,     905816
 8,  1048576,  1669689,    1847335
 8,  1048576,  1693073,    1835314
 8,  1048576,  1682847,    1847092
 8,  1048576,  1666116,    1912227
 8,  1048576,  1678378,    1844431
 8,  2097152,  3426299,    6462135
 8,  2097152,  3429810,    6548047
 8,  2097152,  3408842,    6532475
 8,  2097152,  3408580,    6451242
 8,  2097152,  3402300,    6492424
 8,  4194304,  6832172,   19594580
 8,  4194304,  6833589,   17306394
 8,  4194304,  6832325,   15653498
 8,  4194304,  6825119,   19996663
 8,  4194304,  6823594,   15722468
 8,  8388608, 13634644,   32226892
 8,  8388608, 13684736,   31393566
 8,  8388608, 13650711,   33785511
 8,  8388608, 13637984,   38605502
 8,  8388608, 13634395,   31598309
 8, 16777216, 27283593,   73870561
 8, 16777216, 27249634,   73938870
 8, 16777216, 27301474,   73688911
 8, 16777216, 27278694,   74542489
 8, 16777216, 27287064,   73114986
 8, 33554432, 54575912,  152170088
 8, 33554432, 54691688,  152349641
 8, 33554432, 54595963,  151670424
 8, 33554432, 54587693,  155391496
 8, 33554432, 54583764,  152005656
 9,     4096,     6579,       7024
 9,     4096,     6532,       7017
 9,     4096,     6524,       7009
 9,     4096,     6551,       7006
 9,     4096,     6529,       7005
 9,     8192,    13021,      13906
 9,     8192,    13007,      13905
 9,     8192,    13016,      13905
 9,     8192,    35598,      13914
 9,     8192,    13018,      13908
 9,    16384,    25979,      27757
 9,    16384,    25973,      27743
 9,    16384,    25986,      27739
 9,    16384,    25977,      27733
 9,    16384,    26002,      27731
 9,    32768,    51910,      55834
 9,    32768,    51920,      55813
 9,    32768,    51909,      55710
 9,    32768,    51927,      55815
 9,    32768,    51910,      55714
 9,    65536,   103810,     111417
 9,    65536,   103820,     111555
 9,    65536,   103805,     111253
 9,    65536,   103803,     111412
 9,    65536,   103795,     111414
 9,   131072,   207559,     223813
 9,   131072,   207548,     255608
 9,   131072,   207560,     223922
 9,   131072,   207542,     223846
 9,   131072,   207540,     223829
 9,   262144,   415033,     453817
 9,   262144,   415039,     459905
 9,   262144,   415036,     453960
 9,   262144,   415024,     453945
 9,   262144,   415028,     458976
 9,   524288,   830798,     908106
 9,   524288,   844134,     907606
 9,   524288,   829998,     908819
 9,   524288,   831054,     908680
 9,   524288,   830028,     914724
 9,  1048576,  1672863,    1922587
 9,  1048576,  1677275,    1904988
 9,  1048576,  1667281,    1904258
 9,  1048576,  1666142,    1917014
 9,  1048576,  1679115,    1910849
 9,  2097152,  3410870,    7150923
 9,  2097152,  3410850,    7200190
 9,  2097152,  3409830,    7201668
 9,  2097152,  3426902,    7196855
 9,  2097152,  3407423,    7117976
 9,  4194304,  6832754,   17638985
 9,  4194304,  6827141,   19381873
 9,  4194304,  6828982,   17935335
 9,  4194304,  6856200,   17651441
 9,  4194304,  6796919,   15281932
 9,  8388608, 13631726,   37154332
 9,  8388608, 13652332,   38168041
 9,  8388608, 13616290,   38833422
 9,  8388608, 13634645,   38953292
 9,  8388608, 13665731,   38786672
 9, 16777216, 27309036,   82190981
 9, 16777216, 27296937,   82466674
 9, 16777216, 27288916,   82947425
 9, 16777216, 27368943,   82164966
 9, 16777216, 27263084,   82272218
 9, 33554432, 54622040,  170555625
 9, 33554432, 54518889,  171201098
 9, 33554432, 54549482,  171039177
 9, 33554432, 54662392,  170524631
 9, 33554432, 54572323,  170483185
10,     4096,     6540,       7041
10,     4096,     6533,       7029
10,     4096,     6526,       7030
10,     4096,     6575,       7031
10,     4096,     6523,       7031
10,     8192,    13010,      13948
10,     8192,    13017,      13948
10,     8192,    13011,      13948
10,     8192,    13033,      13948
10,     8192,    13008,      13947
10,    16384,    25992,      27775
10,    16384,    25976,      27783
10,    16384,    25994,      27772
10,    16384,    25977,      27780
10,    16384,    25986,      27772
10,    32768,    51908,      55628
10,    32768,    51954,      55889
10,    32768,    51910,      55887
10,    32768,    51918,      55897
10,    32768,    51910,      55888
10,    65536,   103811,     111618
10,    65536,   107192,     111309
10,    65536,   103811,     135882
10,    65536,   103817,     111474
10,    65536,   103787,     111528
10,   131072,   250707,     225229
10,   131072,   207573,     224753
10,   131072,   207575,     224826
10,   131072,   207576,     224726
10,   131072,   207550,     224737
10,   262144,   415061,     459811
10,   262144,   415045,     460496
10,   262144,   415034,     460015
10,   262144,   422278,     459926
10,   262144,   415057,     460271
10,   524288,   830367,     935851
10,   524288,   830000,     921501
10,   524288,   835779,     921729
10,   524288,   830014,     926989
10,   524288,   829994,     921775
10,  1048576,  1688956,    1993167
10,  1048576,  1667058,    2000568
10,  1048576,  1685609,    1992895
10,  1048576,  1676616,    1998885
10,  1048576,  1666537,    1997334
10,  2097152,  3408717,    7947171
10,  2097152,  3410609,    7945735
10,  2097152,  3431876,    7949569
10,  2097152,  3409679,    7982910
10,  2097152,  3408004,    8106393
10,  4194304,  6800509,   17955480
10,  4194304,  6809948,   19405727
10,  4194304,  6810693,   21522339
10,  4194304,  6805410,   19430625
10,  4194304,  6805230,   19352554
