 num,  friendly, unfriendly
3488,  19787106,   80718824
3492,  19830872,   82875027
3496,  19872522,   81090234
3500,  19914964,   85114998
3504,  19968152,   81705331
3508,  20013972,   83242962
3512,  20043355,   81372985
3516,  20109255,   85863786
3520,  20148577,   81578812
3524,  20197377,   85285342
3528,  20225434,   82647858
3532,  20305689,   84676380
3536,  20370399,   78449948
3540,  20388861,   87285985
3544,  20404484,   83589769
3548,  20473980,   86247483
3552,  20525674,   83552929
3556,  20556970,   88004820
3560,  20607747,   84548395
3564,  20689117,   88304575
3568,  20699436,   84855341
3572,  20744549,   89002467
3576,  20792625,   85199877
3580,  20857025,   90890812
3584,  20897918,  443781631
3588,  20933105,   88703964
3592,  21015435,   85704126
3596,  21039078,   88595380
3600,  21078896,   86344427
3604,  21113389,   89997730
3608,  21199301,   86715448
3612,  21248143,   91302405
3616,  21255369,   86332958
3620,  21298057,   90402899
3624,  21380741,   86431090
3628,  21391523,   92434225
3632,  21438399,   88041678
3636,  21523100,   92938262
3640,  21557803,   87143639
3644,  21584272,   93725488
3648,  21660558,   87672497
3652,  21704143,   92439282
3656,  21763161,   87312016
3660,  21764480,   94526491
3664,  21826373,   89754705
3668,  21858832,   90269056
3672,  21920892,   89277017
3676,  21953426,   95100714
3680,  21994515,   89621677
3684,  22068529,   92625157
3688,  22144090,   90517108
3692,  22166936,   98622986
3696,  22198324,   90933654
3700,  22230980,   94840955
3704,  22311638,   90470770
3708,  22343564,   97110713
3712,  22424061,   91193694
3716,  22443309,   94043676
3720,  22485170,   92621141
3724,  22549391,   96227978
3728,  22595878,   90541125
3732,  22649508,   98561057
3736,  22691252,  253790797
3740,  22738645,   98719465
3744,  22771347,   92656333
3748,  22863027,   98943940
3752,  22873030,   90037782
3756,  22935621,   95786273
3760,  23101454,   91467549
3764,  23041102,   98846286
3768,  23101083,  214600374
3772,  23132931,  100344611
3776,  23196781,   94140441
3780,  23253041,  100476351
3784,  23254849,   95824789
3788,  23330103,  101315927
3792,  23391587,   95882124
3796,  23439002,  102136404
3800,  23463851,   96749103
3804,  23515682,  102526010
3808,  23562840,   96468822
3812,  23617696,  103470588
3816,  23677333,   97616286
3820,  23723993,  104362602
3824,  23798041,   97242156
3828,  23832548,  103029394
3832,  23887478,   98183876
3836,  23948176,  105287157
3840,  23989028,   98221669
3844,  24012730,  105254089
3848,  24069844,  197889350
3852,  24159979,  105943365
3856,  25561303,  101258311
3860,  24217530,  106544511
3864,  24265105,   99917262
3868,  24355326,  106498122
3872,  24370244,  100814955
3876,  24437709,  106003294
3880,  24483452,  100690295
3884,  24534697,  108121449
3888,  24602180,   98578211
3892,  24654322,  104288048
3896,  24713517,  254272188
3900,  24742834,  107899871
3904,  24765497,  100455518
3908,  24838735,  105316503
3912,  24907235,  103033474
3916,  24950095,  109459378
3920,  25011043,  101842101
3924,  25070044,  110020656
3928,  25122269,  103377655
3932,  25115976,  106982573
3936,  25191739,  103210015
3940,  25253258,  111655068
3944,  25455889,  104646170
3948,  25375356,  108491046
3952,  25430593,  105237722
3956,  25583190,  112305429
3960,  25522472,  105309601
3964,  25558335,  112522157
3968,  25574039,  104384651
3972,  25661634,  558799999
3976,  25701291,  105509775
3980,  25783828,  113102097
3984,  25823198,  107275940
3988,  25865245,  113793644
3992,  25920454,  486450842
3996,  25981953,  109695391
4000,  26009127,  106414636
4004,  26097045,  119224296
4008,  26150860,  108378991
4012,  26338271,  118436816
4016,  26238074,  107095113
4020,  26287596,  115858595
4024,  26344899,  104451720
4028,  26390188,  116219289
4032,  26423878,  107515615
4036,  26478779,  117004995
4040,  26510451,  105201366
4044,  26743221,  117510512
4048,  26629403,  108854254
4052,  26704952,  117147922
4056,  26743362,  111253172
4060,  26993983,  118247319
4064,  26993918,  110097560
4068,  26947458,  119044212
4072,  26963264,  112398971
4076,  27034010,  120805689
4080,  27259159,  112888075
4084,  27150303,  122793084
4088,  27164822,  317285209
4092,  27227399,  127456061
4096,  27275404,  714190709
4100,  27366156,  113507258
4104,  27434796,  283329201
4108,  27413100,  112076515
4112,  27474172,  114583585
4116,  27552902,  109488858
4120,  27604105,  110384498
4124,  27651390,  109895821
4128,  27713732,  113375095
4132,  27778963,  110066307
4136,  27854185,  111052411
4140,  27879326,  110587194
4144,  27946116,  112955240
4148,  28000482,  106301722
4152,  28040719,  111448945
4156,  28087852,  108684430
4160,  28132520,  114006729
4164,  28156943,  110263031
4168,  28230475,  112273376
4172,  28298079,  113652900
4176,  28369907,  114629762
4180,  28420314,  131743179
4184,  28476744,  113221067
4188,  28543208,  112589426
4192,  28592625,  116519537
4196,  28638510,  112784240
4200,  28688786,  113840932
4204,  28771104,  113507419
4208,  28804415,  116423855
4212,  28858704,  114104183
4216,  28909630,  114836581
4220,  28944265,  114244814
4224,  29003319,  117725885
4228,  29077568,  640957194
4232,  29228371,  115636923
4236,  29139188,  115418019
4240,  29243313,  118173609
4244,  29285580,  115899799
4248,  29333532,  115729038
4252,  29430738,  116485321
4256,  29449366,  120278909
4260,  29495554,  116550670
4264,  29582433,  117587531
4268,  29603219,  117083668
4272,  29674004,  120632497
4276,  29728209,  117748459
4280,  29794988,  124028726
4284,  29831711,  117976671
4288,  29944206,  121758203
4292,  29962225,  120284111
4296,  29997400,  120590345
4300,  30044566,  121654130
4304,  30143674,  122160217
4308,  30164221,  121638074
4312,  30233414,  119902501
4316,  30318249,  120533584
4320,  30339737,  124404562
4324,  30399477,  128561760
4328,  30452698,  116878510
4332,  30501018,  121916788
4336,  30562830,  124874844
4340,  30646660,  128827499
4344,  30672463,  126027060
4348,  30738230,  129286939
4352,  30856292,  126165626
4356,  30849767,  126315353
4360,  30906509,  357999429
4364,  30988553,  129573798
4368,  31054850,  126642548
4372,  31068198,  133932168
4376,  31137506,  127057731
4380,  31189524,  132232317
4384,  31241466,  128368127
